"date","date_published","measure","group","interval","min_age","max_age","proportion"
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","0 – 10","[0, 10)",0,10,0.027
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","10 – 20","[10, 20)",10,20,0.060
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","20 – 30","[20, 30)",20,30,0.175
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","30 – 40","[30, 40)",30,40,0.180
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","40 – 50","[40, 50)",40,50,0.199
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","50 – 60","[50, 60)",50,60,0.182
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","60 – 70","[60, 70)",60,70,0.079
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","70 – 80","[70, 80)",70,80,0.041
"2020-07-12","2020-07-15T17:00:00.000+02:00","cases","≥ 80","[80, +∞)",80,,0.057
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","0 - 5","[0, 5)",0,5,0.014
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","5 – 15","[5, 15)",5,15,0.048
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","15 – 25","[15, 25)",15,25,0.110
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","25 – 35","[25, 35)",25,35,0.194
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","35 – 45","[35, 45)",35,45,0.185
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","45 – 55","[45, 55)",45,55,0.205
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","55 – 65","[55, 65)",55,65,0.122
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","65 – 75","[65, 75)",65,75,0.052
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","75 – 85","[75, 85)",75,85,0.033
"2020-07-19","2020-07-22T15:00:00.000+02:00","cases","≥ 85","[85, +∞)",85,,0.035
"2020-07-26","2020-07-30T18:35:00.000+02:00","cases","0 – 10","[0, 10)",0,10,0.039
"2020-07-26","2020-07-30T18:35:00.000+02:00","cases","10 – 20","[10, 20)",10,20,0.078
"2020-07-26","2020-07-30T18:35:00.000+02:00","cases","20 – 30","[20, 30)",20,30,0.177
"2020-07-26","2020-07-30T18:35:00.000+02:00","cases","30 – 40","[30, 40)",30,40,0.181
"2020-07-26","2020-07-30T18:35:00.000+02:00","cases","40 – 50","[40, 50)",40,50,0.193
"2020-07-26","2020-07-30T18:35:00.000+02:00","cases","50 – 60","[50, 60)",50,60,0.175
"2020-07-26","2020-07-30T18:35:00.000+02:00","cases","60 – 70","[60, 70)",60,70,0.072
