"date","date_published","cases","cases_residents","cases_nonresidents","cases_new","cases_residents_new","cases_nonresidents_new","cases_residents_prop","cases_nonresidents_prop","cases_sex_f_prop","cases_sex_m_prop","cases_sex_x_prop","cases_sex_u_prop","cases_age_mean","active","active_change","recovered","recovered_new","tests","tests_residents","tests_nonresidents","tests_new","tests_residents_new","tests_nonresidents_new","tests_residents_prop","tests_nonresidents_prop","tests_sex_f_prop","tests_sex_m_prop","tests_sex_x_prop","tests_sex_u_prop","deaths","deaths_new","deaths_transfer","deaths_transfer_new","deaths_hospital_prop","deaths_nonhospital_prop","deaths_sex_f_prop","deaths_sex_m_prop","deaths_sex_x_prop","deaths_sex_u_prop","deaths_age_mean","deaths_age_median","deaths_age_min","deaths_age_max","hospital_total","hospital_normal","hospital_intensive","hospital_total_transfer","hospital_normal_transfer","hospital_intensive_transfer","hospital_admissions","hospital_admissions_new","hospital_admissions_new_all","hospital_admissions_new_ma7","hospital_discharges","hospital_discharges_new","hospital_discharges_new_all","hospital_discharges_new_ma7","reproduction_number_effective","reproduction_number_effective_low","reproduction_number_effective_high","reproduction_number","reproduction_number_low","reproduction_number_high","state","flags"
2020-02-24,2020-04-23T17:30:00.000+02:00,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2020-02-25,2020-04-23T17:30:00.000+02:00,,,,,,,,,,,,,,,,,,9,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2020-02-26,2020-04-23T17:30:00.000+02:00,,,,,,,,,,,,,,,,,,11,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2020-02-27,2020-04-23T17:30:00.000+02:00,,,,,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2020-02-28,2020-04-23T17:30:00.000+02:00,,,,,,,,,,,,,,,,,,19,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2020-02-29,2020-03-01T17:00:00.000+01:00,1,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"import",""
2020-03-02,2020-04-23T17:30:00.000+02:00,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2020-03-03,2020-04-23T17:30:00.000+02:00,,,,,,,,,,,,,,,,,,30,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2020-03-04,2020-03-05T17:30:00.000+01:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"import",""
2020-03-05,2020-04-23T17:30:00.000+02:00,3,,,1,,,,,,,,,,,,,,35,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"import",""
2020-03-06,2020-04-23T17:30:00.000+02:00,4,,,1,,,,,,,,,,,,,,43,,,8,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"import",""
2020-03-07,2020-04-23T17:30:00.000+02:00,1,,,-3,,,,,,,,,,,,,,49,,,6,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"import",""
2020-03-09,2020-04-24T17:15:00.000+02:00,1,,,0,,,,,,,,,,0,,0,,65,,,16,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"import",""
2020-03-10,2020-04-24T17:15:00.000+02:00,1,,,0,,,,,,,,,,0,0,0,0,90,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2020-03-11,2020-04-24T17:15:00.000+02:00,3,,,2,,,,,,,,,,0,0,0,0,140,,,50,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"local",""
2020-03-12,2020-04-24T17:15:00.000+02:00,18,,,15,,,,,,,,,,18,18,0,0,334,,,194,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"local",""
2020-03-13,2020-04-24T17:15:00.000+02:00,42,,,24,,,,,,,,,,42,24,0,0,528,,,194,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"local",""
2020-03-14,2020-04-24T17:15:00.000+02:00,63,,,21,,,,,,,,,,63,21,0,0,631,,,103,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"local",""
2020-03-15,2020-04-24T17:15:00.000+02:00,63,,,0,,,,,,,,,,63,0,0,0,655,,,24,,,,,,,,,1,0,,,,,,,,,,,,,9,8,1,,,,,,,,,,,,,,,,,,"local",""
2020-03-16,2020-04-24T17:15:00.000+02:00,97,,,34,,,,,,,,,,97,34,0,0,1065,,,410,,,,,,,,,0,-1,,,,,,,,,,,,,,0,,,0,,,,,5,,,0,0,,,,,,,"local",""
2020-03-17,2020-04-24T17:15:00.000+02:00,221,,,124,,,,,,,,,,221,124,0,0,1672,,,607,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,0,,,,,6,,,0,0,,,,,,,"local",""
2020-03-18,2020-04-24T17:15:00.000+02:00,379,,,158,,,,,,,,,,379,158,0,0,2570,,,898,,,,,,,,,0,0,,,,,,,,,,,,,14,0,4,-14,0,-4,,,,6,6,,0,0,,,,,,,"local",""
2020-03-19,2020-04-24T17:15:00.000+02:00,522,,,143,,,,,,,,,,522,143,0,0,3507,,,937,,,,,,,,,0,0,,,,,,,,,,,,,19,1,3,-18,0,-3,,,,7,,,0,0,,,,,,,"local",""
2020-03-20,2020-04-24T17:15:00.000+02:00,697,,,175,,,,,,,,,,696,174,0,0,4571,,,1064,,,,,,,,,1,1,,,,,,,,,,,,,29,18,3,-8,0,0,,,,8,,,0,0,,,,,,,"local",""
2020-03-21,2020-04-24T17:15:00.000+02:00,824,,,127,,,,,,,,,,817,121,0,0,5015,,,444,,,,,,,,,7,6,,,,,,,,,,,,,93,56,5,-31,0,1,,,,8,,,8,1,,,,,,,"local",""
2020-03-22,2020-04-24T17:15:00.000+02:00,845,,,21,,,,,,,,,,838,21,0,0,5032,,,17,,,,,,,,,7,0,,,,,,,,,,,,,,63,,,0,,,,,10,,,0,1,,,,,,,"local",""
2020-03-23,2020-04-24T17:15:00.000+02:00,1087,,,242,,,,,,,,,,1080,242,0,0,6163,,,1131,,,,,,,,,7,0,,,,,,,,,,,,,,71,,,0,,,,,12,,,2,1,,,,,,,"local",""
2020-03-24,2020-04-24T17:15:00.000+02:00,1281,,,194,,,,,,,,,,1274,194,0,0,7083,,,920,,,,,,,,,7,0,,,,,,,,,,,,,143,97,21,-37,0,-12,,,,14,,,4,2,,,,,,,"local",""
2020-03-25,2020-04-24T17:15:00.000+02:00,1451,,,170,,,,,,,,,,1439,165,3,3,8024,,,941,,,,,,,,,9,2,,,,,,,,,,,,,,128,,,0,,,,,17,,,11,4,,,,,,,"local",""
2020-03-26,2020-04-24T17:15:00.000+02:00,1714,,,263,,,,,0.46,0.54,,,46.0,1702,263,4,1,13431,,,5407,,,,,,,,,8,-1,,,,,,,,,80.0,,53.0,,148,120,25,-2,0,1,,,,18,40,,14,6,,,,,,,"local",""
2020-03-27,2020-04-24T17:15:00.000+02:00,1910,,,196,,,,,,,,,,1879,177,18,14,14623,,,1192,,,,,,,,,13,5,,,,,,,,,,,,,,128,,,0,,,,,21,,,13,7,,,,,,,"local",""
2020-03-28,2020-04-24T17:15:00.000+02:00,2037,,,127,,,,,,,,,,1980,101,43,25,15568,,,945,,,,,,,,,14,1,,,,,,,,,,,,,,152,,,0,,,,,23,,,9,8,,,,,,,"local",""
2020-03-29,2020-04-24T17:15:00.000+02:00,2081,1733,255,44,,,0.87173,0.12827,,,,,,1997,17,63,20,15873,,,305,,,,,,,,,21,7,,,,,,,,,,,,,202,160,31,-15,0,-4,,,,22,80,,13,9,,,,,,,"local","1"
2020-03-30,2020-04-24T17:15:00.000+02:00,2252,1883,295,171,150,40,0.86455,0.13545,,,,,,2167,170,63,0,17031,,,1158,,,,,,,,,22,1,,,,,,,,,,,,,,156,,,0,,,,,23,,,4,10,,,,,,,"local","1,2"
