date_start,date_end,date_published,measure,spatial_unit_type,ISO 3166-2:LU,LAU,LAU1_2012,LAU2_2012,LAU1_2010,LAU2_2010,name,residents,cases_new,cases_new_per_week_100k
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,42,27.81
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,7,12.25
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,49,48.23
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,7,12.11
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,329,59.62
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,12,12.85
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,200,34.84
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,36,35.71
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,6,10.18
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,10,14.25
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,4,24.36
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,20,37.31
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,161,43.69
2020-06-22,2020-07-12,2020-07-14T12:00:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,39,18.97
2020-06-29,2020-07-19,2020-07-22T15:00:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,53,35.09
2020-06-29,2020-07-19,2020-07-22T15:00:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,10,17.50
2020-06-29,2020-07-19,2020-07-22T15:00:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,47,46.26
2020-06-29,2020-07-19,2020-07-22T15:00:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,10,17.30
2020-06-29,2020-07-19,2020-07-22T15:00:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,602,109.09
2020-06-29,2020-07-19,2020-07-22T15:00:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,21,22.48
