"date_start","date_end","date_published","spatial_unit_type","LAU","LAU1_2012","LAU2_2012","LAU1_2010","LAU2_2010","name","cases_new","residents_20200630","cases_new_per_week_100k"
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0101","01","01",,,"Dippach",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0102","01","02",,,"Garnich",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0103","01","03",,,"Habscht",6,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0104","01","04",,,"Käerjeng",13,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0105","01","05",,,"Kehlen",12,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0106","01","06",,,"Koerich",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0107","01","07",,,"Kopstal",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0108","01","08",,,"Mamer",5,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0110","01","10",,,"Steinfort",4,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0201","02","01",,,"Bettembourg",17,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0202","02","02",,,"Differdange",79,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0203","02","03",,,"Dudelange",42,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0204","02","04",,,"Esch-sur-Alzette",72,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0205","02","05",,,"Frisange",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0206","02","06",,,"Kayl",13,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0207","02","07",,,"Leudelange",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0208","02","08",,,"Mondercange",6,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0209","02","09",,,"Pétange",43,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0210","02","10",,,"Reckange-sur-Mess",6,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0211","02","11",,,"Roeser",4,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0212","02","12",,,"Rumelange",14,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0213","02","13",,,"Sanem",18,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0214","02","14",,,"Schifflange",14,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0301","03","01",,,"Bertrange",4,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0302","03","02",,,"Contern",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0303","03","03",,,"Hesperange",12,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0304","03","04","00","01","Luxembourg",161,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0305","03","05",,,"Niederanven",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0306","03","06",,,"Sandweiler",3,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0307","03","07",,,"Schuttrange",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0308","03","08",,,"Steinsel",3,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0309","03","09",,,"Strassen",6,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0310","03","10",,,"Walferdange",6,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0311","03","11",,,"Weiler-la-Tour",2,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0401","04","01",,,"Colmar-Berg",2,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0402","04","02",,,"Bissen",4,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0403","04","03",,,"Helperknapp",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0404","04","04",,,"Fischbach",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0405","04","05",,,"Heffingen",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0406","04","06",,,"Larochette",2,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0407","04","07",,,"Lintgen",3,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0408","04","08",,,"Lorentzweiler",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0409","04","09",,,"Mersch",23,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0410","04","10",,,"Nommern",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0501","05","01",,,"Clervaux",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0502","05","02",,,"Wincrange",4,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0503","05","03",,,"Parc Hosingen",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0504","05","04",,,"Troisvierges",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0505","05","05",,,"Weiswampach",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0601","06","01",,,"Bettendorf",6,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0602","06","02",,,"Bourscheid",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0603","06","03",,,"Diekirch",6,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0604","06","04",,,"Erpeldange-sur-Sûre",2,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0605","06","05",,,"Ettelbruck",25,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0606","06","06",,,"Feulen",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0607","06","07",,,"Mertzig",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0608","06","08",,,"Reisdorf",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0609","06","09",,,"Schieren",9,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0610","06","10",,,"Vallée de l'Ernz",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0701","07","01",,,"Beckerich",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0702","07","02",,,"Preizerdaul",2,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0703","07","03",,,"Ell",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0704","07","04",,,"Rambrouch",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0705","07","05",,,"Grosbous",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0706","07","06",,,"Redange-sur-Attert",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0707","07","07",,,"Saeul",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0708","07","08",,,"Useldange",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0709","07","09",,,"Vichten",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0710","07","10",,,"Wahl",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0801","08","01",,,"Boulaide",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0802","08","02",,,"Esch-sur-Sûre",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0804","08","04",,,"Goesdorf",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0805","08","05",,,"Kiischpelt",5,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0806","08","06",,,"Lac de la Haute-Sûre",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0807","08","07",,,"Wiltz",14,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0808","08","08",,,"Winseler",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0901","09","01",,,"Tandel",4,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0902","09","02",,,"Putscheid",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","0903","09","03",,,"Vianden",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1001","10","01",,,"Beaufort",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1002","10","02",,,"Bech",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1003","10","03",,,"Berdorf",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1004","10","04",,,"Consdorf",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1005","10","05",,,"Echternach",3,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1006","10","06",,,"Rosport - Mompach",3,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1008","10","08",,,"Waldbillig",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1101","11","01",,,"Betzdorf",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1102","11","02",,,"Biwer",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1103","11","03",,,"Flaxweiler",0,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1104","11","04",,,"Grevenmacher",1,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1105","11","05",,,"Junglinster",4,,
"2020-06-22","2020-07-12","2020-08-05T12:00:00.000+02:00","municipality","1106","11","06",,,"Manternach",0,,
