"date_start","date_end","date_published","school_type","school_level","scenario","persons","cases","cases_new"
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","fondamental",1,"students",36,36
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","fondamental",1,"teachers",14,14
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","fondamental",2,"students",13,13
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","fondamental",2,"teachers",2,2
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","fondamental",3,"students",1,1
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","fondamental",3,"teachers",4,4
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","secondary",1,"students",61,61
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","secondary",1,"teachers",6,6
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","secondary",2,"students",26,26
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","secondary",2,"teachers",2,2
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","secondary",3,"students",0,0
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","public","secondary",3,"teachers",0,0
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","primary",1,"students",1,1
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","primary",1,"teachers",0,0
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","primary",2,"students",0,0
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","primary",2,"teachers",0,0
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","primary",3,"students",0,0
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","primary",3,"teachers",0,0
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","secondary",1,"students",7,7
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","secondary",1,"teachers",0,0
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","secondary",2,"students",5,5
2020-09-15,2020-10-01,"2020-10-14T12:00:00.000+02:00","private","secondary",2,"teachers",0,0
