"date_start","date_end","date_published","year","week","measure","group","interval","min_age","max_age","proportion"
"2020-05-04","2020-05-10","2020-07-01T17:27:01.000+02:00",2020,19,"quarantine_age","0 – 15","[0, 15)",0,15,0.14
"2020-05-04","2020-05-10","2020-07-01T17:27:01.000+02:00",2020,19,"quarantine_age","15 – 30","[15, 30)",15,30,0.28
"2020-05-04","2020-05-10","2020-07-01T17:27:01.000+02:00",2020,19,"quarantine_age","30 – 45","[30, 45)",30,45,0.29
"2020-05-04","2020-05-10","2020-07-01T17:27:01.000+02:00",2020,19,"quarantine_age","45 – 60","[45, 60)",45,60,0.22
"2020-05-04","2020-05-10","2020-07-01T17:27:01.000+02:00",2020,19,"quarantine_age","≥ 60","[60, +∞)",60,,0.07
"2020-05-11","2020-05-17","2020-07-01T17:27:01.000+02:00",2020,20,"quarantine_age","0 – 15","[0, 15)",0,15,0.24
"2020-05-11","2020-05-17","2020-07-01T17:27:01.000+02:00",2020,20,"quarantine_age","15 – 30","[15, 30)",15,30,0.24
"2020-05-11","2020-05-17","2020-07-01T17:27:01.000+02:00",2020,20,"quarantine_age","30 – 45","[30, 45)",30,45,0.3
"2020-05-11","2020-05-17","2020-07-01T17:27:01.000+02:00",2020,20,"quarantine_age","45 – 60","[45, 60)",45,60,0.15
"2020-05-11","2020-05-17","2020-07-01T17:27:01.000+02:00",2020,20,"quarantine_age","≥ 60","[60, +∞)",60,,0.07
"2020-05-18","2020-05-24","2020-07-10T17:00:00.000+02:00",2020,21,"quarantine_age","0 – 15","[0, 15)",0,15,0.27
"2020-05-18","2020-05-24","2020-07-10T17:00:00.000+02:00",2020,21,"quarantine_age","15 – 30","[15, 30)",15,30,0.26
"2020-05-18","2020-05-24","2020-07-10T17:00:00.000+02:00",2020,21,"quarantine_age","30 – 45","[30, 45)",30,45,0.19
"2020-05-18","2020-05-24","2020-07-10T17:00:00.000+02:00",2020,21,"quarantine_age","45 – 60","[45, 60)",45,60,0.21
"2020-05-18","2020-05-24","2020-07-10T17:00:00.000+02:00",2020,21,"quarantine_age","≥ 60","[60, +∞)",60,,0.08
"2020-05-25","2020-05-31","2020-07-10T17:00:00.000+02:00",2020,22,"quarantine_age","0 – 15","[0, 15)",0,15,0.22
"2020-05-25","2020-05-31","2020-07-10T17:00:00.000+02:00",2020,22,"quarantine_age","15 – 30","[15, 30)",15,30,0.2
"2020-05-25","2020-05-31","2020-07-10T17:00:00.000+02:00",2020,22,"quarantine_age","30 – 45","[30, 45)",30,45,0.34
"2020-05-25","2020-05-31","2020-07-10T17:00:00.000+02:00",2020,22,"quarantine_age","45 – 60","[45, 60)",45,60,0.18
"2020-05-25","2020-05-31","2020-07-10T17:00:00.000+02:00",2020,22,"quarantine_age","≥ 60","[60, +∞)",60,,0.06
"2020-06-01","2020-06-07","2020-07-10T17:00:00.000+02:00",2020,23,"quarantine_age","0 – 15","[0, 15)",0,15,0.35
"2020-06-01","2020-06-07","2020-07-10T17:00:00.000+02:00",2020,23,"quarantine_age","15 – 30","[15, 30)",15,30,0.17
"2020-06-01","2020-06-07","2020-07-10T17:00:00.000+02:00",2020,23,"quarantine_age","30 – 45","[30, 45)",30,45,0.28
"2020-06-01","2020-06-07","2020-07-10T17:00:00.000+02:00",2020,23,"quarantine_age","45 – 60","[45, 60)",45,60,0.15
"2020-06-01","2020-06-07","2020-07-10T17:00:00.000+02:00",2020,23,"quarantine_age","≥ 60","[60, +∞)",60,,0.05
"2020-06-08","2020-06-14","2020-07-10T17:00:00.000+02:00",2020,24,"quarantine_age","0 – 15","[0, 15)",0,15,0.3
