"date_start","date_end","year","week","scenario","students_fondamental","personnel_fondamental","classes_fondamental","students_secondary","personnel_secondary","classes_secondary","students_cc","personnel_cc","classes_cc"
"2020-10-02","2020-10-09",2020,41,1,22,9,,26,7,,,,
"2020-10-02","2020-10-09",2020,41,2,10,1,,22,5,,,,
"2020-10-02","2020-10-09",2020,41,3,0,0,,0,0,,,,
"2020-10-02","2020-10-09",2020,41,4,,,,,,,,,
"2020-10-10","2020-10-16",2020,42,1,29,3,,78,2,,,,
"2020-10-10","2020-10-16",2020,42,2,17,2,,24,0,,,,
"2020-10-10","2020-10-16",2020,42,3,0,0,,0,0,,,,
"2020-10-10","2020-10-16",2020,42,4,,,,,,,,,
"2020-10-17","2020-10-23",2020,43,1,93,42,,107,48,,,,
"2020-10-17","2020-10-23",2020,43,2,29,9,,28,15,,,,
"2020-10-17","2020-10-23",2020,43,3,0,0,,0,0,,,,
"2020-10-17","2020-10-23",2020,43,4,,,,,,,,,
"2020-11-09","2020-11-15",2020,46,1,221,44,265,308,6,355,,,
"2020-11-09","2020-11-15",2020,46,2,32,0,16,82,2,46,,,
"2020-11-09","2020-11-15",2020,46,3,3,0,1,20,1,7,,,
"2020-11-09","2020-11-15",2020,46,4,0,0,0,0,0,0,,,
"2020-11-16","2020-11-22",2020,47,1,191,34,226,224,25,361,4,1,5
"2020-11-16","2020-11-22",2020,47,2,75,2,54,107,7,123,2,0,1
"2020-11-16","2020-11-22",2020,47,3,30,0,13,57,3,42,0,0,0
"2020-11-16","2020-11-22",2020,47,4,27,6,14,0,0,0,0,0,0
"2020-11-23","2020-11-29",2020,48,1,246,28,258,130,16,199,2,4,6
"2020-11-23","2020-11-29",2020,48,2,37,1,27,113,9,144,2,0,1
"2020-11-23","2020-11-29",2020,48,3,18,0,10,78,3,69,0,0,0
"2020-11-23","2020-11-29",2020,48,4,6,0,3,11,2,14,0,0,0
"2020-11-30","2020-12-06",2020,49,1,247,58,297,279,37,303,8,12,16
"2020-11-30","2020-12-06",2020,49,2,35,0,32,47,1,38,0,0,0
"2020-11-30","2020-12-06",2020,49,3,8,1,4,10,1,8,0,0,0
"2020-11-30","2020-12-06",2020,49,4,14,0,2,0,0,0,0,0,0
"2020-12-07","2020-12-13",2020,50,1,233,43,269,305,109,379,4,6,10
"2020-12-07","2020-12-13",2020,50,2,66,3,51,71,4,47,0,1,1
"2020-12-07","2020-12-13",2020,50,3,7,0,3,22,1,7,3,0,1
"2020-12-07","2020-12-13",2020,50,4,9,0,1,0,0,0,2,1,1
"2020-12-14","2020-12-20",2020,51,1,228,36,244,232,19,319,2,2,4
"2020-12-14","2020-12-20",2020,51,2,36,5,31,48,2,30,0,0,0
"2020-12-14","2020-12-20",2020,51,3,17,0,6,13,0,6,0,0,0
"2020-12-14","2020-12-20",2020,51,4,2,0,1,0,0,0,0,0,0
"2021-01-11","2021-01-17",2021,2,1,79,8,87,73,5,76,0,1,1
"2021-01-11","2021-01-17",2021,2,2,0,0,0,2,0,1,0,0,0
"2021-01-11","2021-01-17",2021,2,3,0,0,0,0,0,0,0,0,0
"2021-01-11","2021-01-17",2021,2,4,0,0,0,0,0,0,0,0,0
"2021-01-18","2021-01-24",2021,3,1,58,10,73,69,7,81,1,1,2
"2021-01-18","2021-01-24",2021,3,2,1,1,1,4,0,3,0,0,0
"2021-01-18","2021-01-24",2021,3,3,7,1,2,4,0,1,0,0,0
"2021-01-18","2021-01-24",2021,3,4,3,2,1,0,0,0,0,0,0
"2021-01-25","2021-01-31",2021,4,1,81,20,110,98,8,121,4,1,5
"2021-01-25","2021-01-31",2021,4,2,13,3,10,22,4,19,0,0,0
"2021-01-25","2021-01-31",2021,4,3,12,3,5,7,0,5,0,0,0
"2021-01-25","2021-01-31",2021,4,4,19,1,17,5,0,1,0,0,0
"2021-02-01","2021-02-07",2021,5,1,106,19,136,96,10,128,3,0,2
"2021-02-01","2021-02-07",2021,5,2,10,6,11,24,2,22,5,3,6
"2021-02-01","2021-02-07",2021,5,3,28,4,14,18,2,11,0,0,0
"2021-02-01","2021-02-07",2021,5,4,41,2,19,0,0,0,0,0,0
"2021-02-22","2021-02-28",2021,8,1,147,15,210,163,16,198,0,2,2
"2021-02-22","2021-02-28",2021,8,2,2,2,4,3,1,2,0,0,0
"2021-02-22","2021-02-28",2021,8,3,0,0,0,0,0,0,0,0,0
"2021-02-22","2021-02-28",2021,8,4,0,0,0,0,0,0,0,0,0
"2021-03-01","2021-03-07",2021,9,1,96,19,120,146,14,156,0,1,1
"2021-03-01","2021-03-07",2021,9,2,9,0,6,8,0,5,0,0,0
"2021-03-01","2021-03-07",2021,9,3,6,0,2,2,0,1,0,0,0
"2021-03-01","2021-03-07",2021,9,4,3,1,3,0,0,0,0,0,0
"2021-03-08","2021-03-14",2021,10,1,96,18,119,112,11,134,1,0,1
"2021-03-08","2021-03-14",2021,10,2,30,1,23,36,5,30,0,0,0
"2021-03-08","2021-03-14",2021,10,3,12,2,7,12,1,8,0,0,0
"2021-03-08","2021-03-14",2021,10,4,0,0,0,0,0,0,0,0,0
