"date_start","date_end","date_published","year","week","country","proportion","count"
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"Luxembourg",0.861,346
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"France",0.075,30
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"Belgium",0.03,12
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"Germany",0.007,3
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"Other",0.002,1
"2020-07-06","2020-07-12","2020-07-14T12:00:00.000+02:00",2020,28,"Unknown",0.025,10
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"Luxembourg",0.846,579
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"France",0.082,56
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"Belgium",0.05,34
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"Germany",0.01,7
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"Other",0.001,1
"2020-07-13","2020-07-19","2020-07-22T15:00:00.000+02:00",2020,29,"Unknown",0.01,7
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"Luxembourg",0.837,582
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"France",0.115,80
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"Belgium",0.032,22
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"Germany",0.01,7
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"Other",0.006,4
"2020-07-20","2020-07-26","2020-07-30T18:35:00.000+02:00",2020,30,"Unknown",0,0
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"Luxembourg",0.834,438
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"France",0.097,51
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"Belgium",0.053,28
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"Germany",0.011,6
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"Other",0.004,2
"2020-07-27","2020-08-02","2020-08-05T17:40:00.000+02:00",2020,31,"Unknown",0,0
"2020-08-03","2020-08-09","2020-08-12T17:00:00.000+02:00",2020,32,"Luxembourg",0.839,297
"2020-08-03","2020-08-09","2020-08-12T17:00:00.000+02:00",2020,32,"France",0.068,24
"2020-08-03","2020-08-09","2020-08-12T17:00:00.000+02:00",2020,32,"Belgium",0.062,22
"2020-08-03","2020-08-09","2020-08-12T17:00:00.000+02:00",2020,32,"Germany",0.014,5
"2020-08-03","2020-08-09","2020-08-12T17:00:00.000+02:00",2020,32,"Other",0.017,6
"2020-08-03","2020-08-09","2020-08-12T17:00:00.000+02:00",2020,32,"Unknown",0,0
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"Luxembourg",0.819,204
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"France",0.084,21
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"Belgium",0.028,7
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"Germany",0.008,2
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"Other",0.06,15
"2020-08-10","2020-08-16","2020-08-19T18:00:00.000+02:00",2020,33,"Unknown",0,0
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"Luxembourg",0.811,271
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"France",0.108,36
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"Belgium",0.027,9
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"Germany",0.018,6
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"Other",0.036,12
"2020-08-17","2020-08-23","2020-08-26T15:45:00.000+02:00",2020,34,"Unknown",0,0
