date,cases_active,recovered
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,18,0
2020-03-13,42,0
2020-03-14,63,0
2020-03-15,63,0
2020-03-16,97,0
2020-03-17,221,0
2020-03-18,379,0
2020-03-19,522,0
2020-03-20,696,0
2020-03-21,817,0
2020-03-22,838,0
2020-03-23,1080,0
2020-03-24,1274,0
2020-03-25,1439,3
2020-03-26,1702,4
2020-03-27,1879,18
2020-03-28,1980,43
2020-03-29,1997,63
2020-03-30,2167,63
2020-03-31,2248,95
2020-04-01,2331,198
2020-04-02,2314,342
2020-04-03,2297,476
2020-04-04,2204,638
2020-04-05,2118,758
2020-04-06,2176,774
2020-04-07,2037,995,
2020-04-08,1930,1179
2020-04-09,1842,1337
2020-04-10,1656,1568
2020-04-11,1480,1750
2020-04-12,1379,1866
2020-04-13,1338,1907
2020-04-14,1244,2071
2020-04-15,1179,2186
2020-04-16,1040,2369
2020-04-17,971,2490
2020-04-18,871,2607
2020-04-19,806,2679
2020-04-20,789,2725
2020-04-21,752,2806
2020-04-22,689,2887
2020-04-23,629,2943
2020-04-24,603,3029
2020-04-25,538,3088
